trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
605,False,"{'a': 0.002, 'e': 0.29879427078110127}",25,0,26.075922064527376,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
606,False,"{'a': 0.002, 'e': 0.2981972794298874}",20,0,-33.56231757116366,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
607,False,"{'a': 0.002, 'e': 0.29760148086818883}",25,10,19.57715435503939,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
608,False,"{'a': 0.002, 'e': 0.2970068727128105}",35,12,-24.17204816486451,"{0: 19, 1: 1, 2: 1, 3: 2, 4: 0}",1
609,False,"{'a': 0.002, 'e': 0.2964134525853191}",25,0,-48.11613261236159,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
610,False,"{'a': 0.002, 'e': 0.2958212181120332}",30,14,-37.57839697154169,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
611,False,"{'a': 0.002, 'e': 0.2952301669240142}",25,2,-20.807984173521273,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 0}",1
612,False,"{'a': 0.002, 'e': 0.29464029665705654}",20,5,14.56140148390313,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
613,False,"{'a': 0.002, 'e': 0.29405160495167837}",25,0,-11.50095322608803,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
614,False,"{'a': 0.002, 'e': 0.2934640894531121}",20,15,9.945270809003542,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
615,False,"{'a': 0.002, 'e': 0.2928777478112949}",20,0,-0.7360323962385773,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
616,False,"{'a': 0.002, 'e': 0.2922925776808594}",25,8,4.701601478505938,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
617,False,"{'a': 0.002, 'e': 0.2917085767211244}",20,16,4.615613876329926,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
618,False,"{'a': 0.002, 'e': 0.2911257425960852}",25,2,-73.56615661015974,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 2}",1
619,False,"{'a': 0.002, 'e': 0.2905440729744046}",20,13,1.8990303067257337,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
620,False,"{'a': 0.002, 'e': 0.2899635655294032}",25,16,8.91607314601391,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
621,False,"{'a': 0.002, 'e': 0.2893842179390506}",20,14,-1.3531607919678557,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
622,False,"{'a': 0.002, 'e': 0.28880602788595566}",20,9,20.320516319276706,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
623,False,"{'a': 0.002, 'e': 0.2882289930573573}",25,0,10.776735702949596,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
624,False,"{'a': 0.002, 'e': 0.2876531111451154}",20,0,-44.37554831222519,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
625,False,"{'a': 0.002, 'e': 0.28707837984570167}",30,12,24.503596542487298,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
626,False,"{'a': 0.002, 'e': 0.2865047968601901}",20,0,-20.463622750558024,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
627,False,"{'a': 0.002, 'e': 0.285932359894248}",20,10,-46.961549411728264,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
628,False,"{'a': 0.002, 'e': 0.28536106665812666}",20,12,-50.77945792243224,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
629,False,"{'a': 0.002, 'e': 0.2847909148666525}",20,5,-24.235809784238608,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
630,False,"{'a': 0.002, 'e': 0.28422190223921745}",25,14,18.591098856256778,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
631,False,"{'a': 0.002, 'e': 0.2836540264997704}",25,19,10.653686420797094,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
632,False,"{'a': 0.002, 'e': 0.2830872853768075}",30,14,21.002597322624343,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
633,False,"{'a': 0.002, 'e': 0.2825216766033636}",25,14,2.020340773080969,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
634,False,"{'a': 0.002, 'e': 0.28195719791700274}",20,0,31.178752954859213,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
635,False,"{'a': 0.002, 'e': 0.2813938470598095}",20,0,26.40017030749352,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
636,False,"{'a': 0.002, 'e': 0.2808316217783798}",20,6,10.284908872637,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
637,False,"{'a': 0.002, 'e': 0.28027051982381157}",25,16,19.77967150629314,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
638,False,"{'a': 0.002, 'e': 0.27971053895169634}",25,13,-27.752155731192907,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
639,False,"{'a': 0.002, 'e': 0.27915167692210985}",30,10,-39.71355551204653,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
640,False,"{'a': 0.002, 'e': 0.27859393149960326}",25,10,-24.616333247030013,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
641,False,"{'a': 0.002, 'e': 0.27803730045319414}",20,0,26.63972210788745,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
642,False,"{'a': 0.002, 'e': 0.2774817815563575}",25,1,-4.050041691742881,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 0}",1
643,False,"{'a': 0.002, 'e': 0.2769273725870171}",25,8,-51.540596632456676,"{0: 13, 1: 2, 2: 0, 3: 1, 4: 1}",1
644,False,"{'a': 0.002, 'e': 0.27637407132753633}",25,15,19.909385234585248,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
645,False,"{'a': 0.002, 'e': 0.27582187556470933}",25,6,-2.40667143089032,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
646,False,"{'a': 0.002, 'e': 0.27527078308975234}",25,15,6.896617992480036,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
647,False,"{'a': 0.002, 'e': 0.2747207916982947}",30,10,-8.282849977863153,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
648,False,"{'a': 0.002, 'e': 0.2741718991903702}",20,10,-15.332596994451567,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
649,False,"{'a': 0.002, 'e': 0.27362410337040804}",20,4,15.627308305565304,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
650,False,"{'a': 0.002, 'e': 0.2730774020472242}",25,15,15.562286196077954,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
651,False,"{'a': 0.002, 'e': 0.2725317930340126}",20,11,17.74015600825734,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
652,False,"{'a': 0.002, 'e': 0.2719872741483365}",30,4,6.0147646705738635,"{0: 21, 1: 4, 2: 1, 3: 0, 4: 0}",1
653,False,"{'a': 0.002, 'e': 0.27144384321211973}",30,17,22.96750583106195,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
654,False,"{'a': 0.002, 'e': 0.27090149805163766}",25,5,29.462578700534348,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
655,False,"{'a': 0.002, 'e': 0.270360236497509}",25,19,9.055506086413596,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
656,False,"{'a': 0.002, 'e': 0.2698200563846868}",20,9,-2.350582585719968,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
657,False,"{'a': 0.002, 'e': 0.26928095555244996}",25,9,-34.83553550681123,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
658,False,"{'a': 0.002, 'e': 0.26874293184439435}",25,19,11.139185671183062,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
659,False,"{'a': 0.002, 'e': 0.2682059831084244}",20,0,14.52100492203271,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
660,False,"{'a': 0.002, 'e': 0.26767010719674456}",25,19,15.048394137024943,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
661,False,"{'a': 0.002, 'e': 0.26713530196585034}",30,4,-23.79086288874536,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 1}",1
662,False,"{'a': 0.002, 'e': 0.2666015652765202}",25,11,23.092682015755283,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
663,False,"{'a': 0.002, 'e': 0.26606889499380665}",25,12,25.48853008599396,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
664,False,"{'a': 0.002, 'e': 0.2655372889870278}",25,9,8.321262407649927,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
665,False,"{'a': 0.002, 'e': 0.2650067451297589}",20,9,19.906992025611007,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
666,False,"{'a': 0.002, 'e': 0.26447726129982396}",20,14,11.63091616189391,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
667,False,"{'a': 0.002, 'e': 0.2639488353792868}",25,0,-31.39619924365484,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
668,False,"{'a': 0.002, 'e': 0.2634214652544431}",20,10,16.53491105656044,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
669,False,"{'a': 0.002, 'e': 0.26289514881581166}",25,5,28.65116425341441,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
670,False,"{'a': 0.002, 'e': 0.262369883958126}",30,7,24.594887682753207,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
671,False,"{'a': 0.002, 'e': 0.261845668580326}",20,15,8.572436085295438,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
672,False,"{'a': 0.002, 'e': 0.2613225005855494}",20,12,11.937450640443005,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
673,False,"{'a': 0.002, 'e': 0.26080037788112365}",30,20,20.712137526012604,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
674,False,"{'a': 0.002, 'e': 0.2602792983785571}",20,10,17.10156336964602,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
675,False,"{'a': 0.002, 'e': 0.2597592599935311}",20,8,-0.10934046881045223,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
676,False,"{'a': 0.002, 'e': 0.2592402606458915}",20,3,-39.96933035353789,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
677,False,"{'a': 0.002, 'e': 0.25872229825964005}",25,0,24.82108937051554,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
678,False,"{'a': 0.002, 'e': 0.25820537076292666}",25,9,2.4588651927584846,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
679,False,"{'a': 0.002, 'e': 0.25768947608804055}",20,4,19.538418689999016,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
680,False,"{'a': 0.002, 'e': 0.2571746121714024}",20,3,27.850554705097164,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
681,False,"{'a': 0.002, 'e': 0.2566607769535559}",25,13,10.47751645622344,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
682,False,"{'a': 0.002, 'e': 0.2561479683791593}",30,18,21.370177317277584,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
683,False,"{'a': 0.002, 'e': 0.25563618439697783}",20,0,25.464221651206138,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
684,False,"{'a': 0.002, 'e': 0.2551254229598748}",20,3,16.135089233031973,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
685,False,"{'a': 0.002, 'e': 0.2546156820248037}",20,6,-7.05179324516611,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
686,False,"{'a': 0.002, 'e': 0.25410695955280027}",20,3,14.405919064013545,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
687,False,"{'a': 0.002, 'e': 0.25359925350897383}",30,23,12.850791749116947,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
688,False,"{'a': 0.002, 'e': 0.25309256186249957}",30,8,32.03923575408765,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
689,False,"{'a': 0.002, 'e': 0.2525868825866102}",25,19,10.603052953326712,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
690,False,"{'a': 0.002, 'e': 0.25208221365858796}",30,16,-9.988576024001745,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
691,False,"{'a': 0.002, 'e': 0.25157855305975646}",20,6,10.457341313806598,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
